Date,Item,Quantity Sold,Price per Unit,Total Sales ($)
2024-01-01,Coffee,10,3.07,30.7
2024-01-01,Tea,39,7.42,289.38
2024-01-01,Cappuccino,18,2.94,52.92
2024-01-01,Latte,42,3.94,165.48
2024-01-01,Espresso,44,7.75,341.0
2024-01-01,Muffin,34,7.09,241.06
2024-01-01,Croissant,42,4.31,181.02
2024-01-01,Sandwich,41,4.83,198.03
2024-01-01,Cake,22,2.71,59.62
2024-01-01,Smoothie,40,3.42,136.8
2024-01-02,Coffee,29,6.61,191.69
2024-01-02,Tea,6,4.74,28.44
2024-01-02,Cappuccino,5,7.43,37.15
2024-01-02,Latte,37,6.4,236.8
2024-01-02,Espresso,10,2.88,28.8
2024-01-02,Muffin,39,7.52,293.28
2024-01-02,Croissant,28,6.49,181.72
2024-01-02,Sandwich,30,6.67,200.1
2024-01-02,Cake,39,5.64,219.96
2024-01-02,Smoothie,42,4.38,183.96
2024-01-03,Coffee,29,6.92,200.68
2024-01-03,Tea,39,5.89,229.71
2024-01-03,Cappuccino,35,4.47,156.45
2024-01-03,Latte,44,3.64,160.16
2024-01-03,Espresso,26,6.77,176.02
2024-01-03,Muffin,31,5.16,159.96
2024-01-03,Croissant,14,5.76,80.64
2024-01-03,Sandwich,11,3.94,43.34
2024-01-03,Cake,15,3.56,53.4
2024-01-03,Smoothie,12,4.52,54.24
2024-01-04,Coffee,9,4.11,36.99
2024-01-04,Tea,16,3.29,52.64
2024-01-04,Cappuccino,5,7.11,35.55
2024-01-04,Latte,27,3.58,96.66
2024-01-04,Espresso,6,7.95,47.7
2024-01-04,Muffin,23,7.88,181.24
2024-01-04,Croissant,33,2.82,93.06
2024-01-04,Sandwich,10,4.03,40.3
2024-01-04,Cake,40,3.99,159.6
2024-01-04,Smoothie,10,5.51,55.1
2024-01-05,Coffee,8,7.61,60.88
2024-01-05,Tea,33,7.13,235.29
2024-01-05,Cappuccino,50,6.92,346.0
2024-01-05,Latte,48,7.97,382.56
2024-01-05,Espresso,39,3.13,122.07
2024-01-05,Muffin,37,3.61,133.57
2024-01-05,Croissant,40,4.1,164.0
2024-01-05,Sandwich,16,2.77,44.32
2024-01-05,Cake,24,2.93,70.32
2024-01-05,Smoothie,36,5.27,189.72
2024-01-06,Coffee,26,5.41,140.66
2024-01-06,Tea,47,6.34,297.98
2024-01-06,Cappuccino,39,7.01,273.39
2024-01-06,Latte,10,6.39,63.9
2024-01-06,Espresso,49,4.18,204.82
2024-01-06,Muffin,40,3.86,154.4
2024-01-06,Croissant,21,4.32,90.72
2024-01-06,Sandwich,25,6.02,150.5
2024-01-06,Cake,12,2.62,31.44
2024-01-06,Smoothie,38,6.84,259.92
2024-01-07,Coffee,45,7.13,320.85
2024-01-07,Tea,16,5.0,80.0
2024-01-07,Cappuccino,49,6.69,327.81
2024-01-07,Latte,46,7.48,344.08
2024-01-07,Espresso,35,2.97,103.95
2024-01-07,Muffin,9,5.09,45.81
2024-01-07,Croissant,45,4.33,194.85
2024-01-07,Sandwich,7,6.09,42.63
2024-01-07,Cake,45,3.42,153.9
2024-01-07,Smoothie,34,7.48,254.32
2024-01-08,Coffee,44,6.5,286.0
2024-01-08,Tea,45,7.02,315.9
2024-01-08,Cappuccino,16,5.12,81.92
2024-01-08,Latte,47,6.51,305.97
2024-01-08,Espresso,16,4.72,75.52
2024-01-08,Muffin,18,6.08,109.44
2024-01-08,Croissant,47,5.0,235.0
2024-01-08,Sandwich,25,4.48,112.0
2024-01-08,Cake,14,5.64,78.96
2024-01-08,Smoothie,47,4.82,226.54
2024-01-09,Coffee,5,7.14,35.7
2024-01-09,Tea,20,3.61,72.2
2024-01-09,Cappuccino,28,6.27,175.56
2024-01-09,Latte,34,7.7,261.8
2024-01-09,Espresso,30,3.59,107.7
2024-01-09,Muffin,47,5.41,254.27
2024-01-09,Croissant,49,5.04,246.96
2024-01-09,Sandwich,42,4.06,170.52
2024-01-09,Cake,29,4.96,143.84
2024-01-09,Smoothie,10,7.59,75.9
2024-01-10,Coffee,30,7.73,231.9
2024-01-10,Tea,37,5.96,220.52
2024-01-10,Cappuccino,43,6.6,283.8
2024-01-10,Latte,27,7.01,189.27
2024-01-10,Espresso,31,5.24,162.44
2024-01-10,Muffin,33,7.4,244.2
2024-01-10,Croissant,7,6.2,43.4
2024-01-10,Sandwich,26,7.8,202.8
2024-01-10,Cake,50,7.73,386.5
2024-01-10,Smoothie,10,5.85,58.5
2024-01-11,Coffee,36,6.93,249.48
2024-01-11,Tea,31,5.71,177.01
2024-01-11,Cappuccino,47,7.87,369.89
2024-01-11,Latte,41,4.27,175.07
2024-01-11,Espresso,47,7.9,371.3
2024-01-11,Muffin,34,7.33,249.22
2024-01-11,Croissant,39,4.54,177.06
2024-01-11,Sandwich,9,5.74,51.66
2024-01-11,Cake,18,7.79,140.22
2024-01-11,Smoothie,47,4.35,204.45
2024-01-12,Coffee,16,3.67,58.72
2024-01-12,Tea,12,2.78,33.36
2024-01-12,Cappuccino,45,7.71,346.95
2024-01-12,Latte,26,5.97,155.22
2024-01-12,Espresso,25,7.13,178.25
2024-01-12,Muffin,29,5.38,156.02
2024-01-12,Croissant,34,2.66,90.44
2024-01-12,Sandwich,40,7.29,291.6
2024-01-12,Cake,38,3.09,117.42
2024-01-12,Smoothie,18,5.92,106.56
2024-01-13,Coffee,6,4.36,26.16
2024-01-13,Tea,25,6.71,167.75
2024-01-13,Cappuccino,46,3.95,181.7
2024-01-13,Latte,22,5.15,113.3
2024-01-13,Espresso,38,7.81,296.78
2024-01-13,Muffin,28,3.81,106.68
2024-01-13,Croissant,17,2.98,50.66
2024-01-13,Sandwich,21,7.31,153.51
2024-01-13,Cake,38,6.39,242.82
2024-01-13,Smoothie,30,5.93,177.9
2024-01-14,Coffee,37,3.71,137.27
2024-01-14,Tea,35,4.84,169.4
2024-01-14,Cappuccino,12,6.51,78.12
2024-01-14,Latte,11,7.22,79.42
2024-01-14,Espresso,32,4.85,155.2
2024-01-14,Muffin,32,4.09,130.88
2024-01-14,Croissant,27,3.13,84.51
2024-01-14,Sandwich,10,2.94,29.4
2024-01-14,Cake,14,4.45,62.3
2024-01-14,Smoothie,25,4.15,103.75
2024-01-15,Coffee,42,3.02,126.84
2024-01-15,Tea,44,3.38,148.72
2024-01-15,Cappuccino,38,6.34,240.92
2024-01-15,Latte,36,4.17,150.12
2024-01-15,Espresso,20,7.57,151.4
2024-01-15,Muffin,38,7.65,290.7
2024-01-15,Croissant,21,3.4,71.4
2024-01-15,Sandwich,33,7.3,240.9
2024-01-15,Cake,15,3.6,54.0
2024-01-15,Smoothie,29,4.93,142.97
2024-01-16,Coffee,5,4.35,21.75
2024-01-16,Tea,11,2.97,32.67
2024-01-16,Cappuccino,41,5.75,235.75
2024-01-16,Latte,21,5.69,119.49
2024-01-16,Espresso,17,7.39,125.63
2024-01-16,Muffin,7,3.65,25.55
2024-01-16,Croissant,39,3.15,122.85
2024-01-16,Sandwich,7,2.6,18.2
2024-01-16,Cake,46,7.46,343.16
2024-01-16,Smoothie,15,7.54,113.1
2024-01-17,Coffee,42,6.59,276.78
2024-01-17,Tea,47,2.92,137.24
2024-01-17,Cappuccino,32,4.47,143.04
2024-01-17,Latte,23,7.42,170.66
2024-01-17,Espresso,46,3.2,147.2
2024-01-17,Muffin,14,6.57,91.98
2024-01-17,Croissant,21,2.74,57.54
2024-01-17,Sandwich,50,5.05,252.5
2024-01-17,Cake,27,3.45,93.15
2024-01-17,Smoothie,35,3.05,106.75
2024-01-18,Coffee,43,4.74,203.82
2024-01-18,Tea,43,7.96,342.28
2024-01-18,Cappuccino,36,6.09,219.24
2024-01-18,Latte,31,3.39,105.09
2024-01-18,Espresso,12,5.04,60.48
2024-01-18,Muffin,33,6.63,218.79
2024-01-18,Croissant,14,7.49,104.86
2024-01-18,Sandwich,42,6.57,275.94
2024-01-18,Cake,21,4.27,89.67
2024-01-18,Smoothie,40,7.21,288.4
2024-01-19,Coffee,18,7.44,133.92
2024-01-19,Tea,12,7.85,94.2
2024-01-19,Cappuccino,21,5.5,115.5
2024-01-19,Latte,7,5.21,36.47
2024-01-19,Espresso,21,2.51,52.71
2024-01-19,Muffin,31,2.66,82.46
2024-01-19,Croissant,13,3.31,43.03
2024-01-19,Sandwich,15,6.37,95.55
2024-01-19,Cake,37,2.6,96.2
2024-01-19,Smoothie,37,6.64,245.68
2024-01-20,Coffee,6,6.28,37.68
2024-01-20,Tea,6,3.63,21.78
2024-01-20,Cappuccino,7,2.79,19.53
2024-01-20,Latte,15,4.78,71.7
2024-01-20,Espresso,8,3.52,28.16
2024-01-20,Muffin,33,4.36,143.88
2024-01-20,Croissant,32,3.0,96.0
2024-01-20,Sandwich,41,3.92,160.72
2024-01-20,Cake,41,7.3,299.3
2024-01-20,Smoothie,23,4.94,113.62
2024-01-21,Coffee,14,7.31,102.34
2024-01-21,Tea,43,6.37,273.91
2024-01-21,Cappuccino,16,7.35,117.6
2024-01-21,Latte,34,7.81,265.54
2024-01-21,Espresso,16,3.09,49.44
2024-01-21,Muffin,44,7.97,350.68
2024-01-21,Croissant,17,3.78,64.26
2024-01-21,Sandwich,38,4.43,168.34
2024-01-21,Cake,48,2.59,124.32
2024-01-21,Smoothie,35,6.92,242.2
2024-01-22,Coffee,15,3.66,54.9
2024-01-22,Tea,44,4.48,197.12
2024-01-22,Cappuccino,11,4.52,49.72
2024-01-22,Latte,16,3.75,60.0
2024-01-22,Espresso,26,4.57,118.82
2024-01-22,Muffin,14,4.69,65.66
2024-01-22,Croissant,49,6.57,321.93
2024-01-22,Sandwich,7,2.61,18.27
2024-01-22,Cake,5,7.89,39.45
2024-01-22,Smoothie,44,3.37,148.28
2024-01-23,Coffee,39,5.91,230.49
2024-01-23,Tea,33,5.34,176.22
2024-01-23,Cappuccino,11,7.72,84.92
2024-01-23,Latte,20,2.72,54.4
2024-01-23,Espresso,41,4.98,204.18
2024-01-23,Muffin,38,3.18,120.84
2024-01-23,Croissant,25,4.79,119.75
2024-01-23,Sandwich,47,7.49,352.03
2024-01-23,Cake,20,5.87,117.4
2024-01-23,Smoothie,42,3.36,141.12
2024-01-24,Coffee,49,5.86,287.14
2024-01-24,Tea,10,4.63,46.3
2024-01-24,Cappuccino,26,7.45,193.7
2024-01-24,Latte,23,5.12,117.76
2024-01-24,Espresso,24,7.3,175.2
2024-01-24,Muffin,19,6.83,129.77
2024-01-24,Croissant,39,3.38,131.82
2024-01-24,Sandwich,13,3.05,39.65
2024-01-24,Cake,15,3.0,45.0
2024-01-24,Smoothie,15,4.28,64.2
2024-01-25,Coffee,17,3.63,61.71
2024-01-25,Tea,20,5.94,118.8
2024-01-25,Cappuccino,38,5.02,190.76
2024-01-25,Latte,22,6.76,148.72
2024-01-25,Espresso,7,3.68,25.76
2024-01-25,Muffin,23,3.63,83.49
2024-01-25,Croissant,34,4.32,146.88
2024-01-25,Sandwich,6,7.57,45.42
2024-01-25,Cake,42,6.56,275.52
2024-01-25,Smoothie,28,2.61,73.08
2024-01-26,Coffee,8,6.78,54.24
2024-01-26,Tea,12,6.8,81.6
2024-01-26,Cappuccino,15,6.03,90.45
2024-01-26,Latte,42,3.46,145.32
2024-01-26,Espresso,41,3.44,141.04
2024-01-26,Muffin,45,2.69,121.05
2024-01-26,Croissant,41,5.07,207.87
2024-01-26,Sandwich,43,3.09,132.87
2024-01-26,Cake,9,4.97,44.73
2024-01-26,Smoothie,21,2.93,61.53
2024-01-27,Coffee,13,7.72,100.36
2024-01-27,Tea,32,7.51,240.32
2024-01-27,Cappuccino,39,6.57,256.23
2024-01-27,Latte,40,4.76,190.4
2024-01-27,Espresso,16,3.22,51.52
2024-01-27,Muffin,25,2.82,70.5
2024-01-27,Croissant,33,3.38,111.54
2024-01-27,Sandwich,27,2.67,72.09
2024-01-27,Cake,34,6.07,206.38
2024-01-27,Smoothie,27,4.24,114.48
2024-01-28,Coffee,49,4.37,214.13
2024-01-28,Tea,21,2.64,55.44
2024-01-28,Cappuccino,27,3.77,101.79
2024-01-28,Latte,28,6.5,182.0
2024-01-28,Espresso,41,6.14,251.74
2024-01-28,Muffin,42,7.85,329.7
2024-01-28,Croissant,50,4.58,229.0
2024-01-28,Sandwich,35,5.69,199.15
2024-01-28,Cake,42,6.06,254.52
2024-01-28,Smoothie,24,3.75,90.0
2024-01-29,Coffee,48,6.22,298.56
2024-01-29,Tea,17,7.3,124.1
2024-01-29,Cappuccino,49,2.52,123.48
2024-01-29,Latte,23,5.71,131.33
2024-01-29,Espresso,13,4.48,58.24
2024-01-29,Muffin,13,3.6,46.8
2024-01-29,Croissant,45,6.43,289.35
2024-01-29,Sandwich,5,5.64,28.2
2024-01-29,Cake,34,7.28,247.52
2024-01-29,Smoothie,26,3.53,91.78
2024-01-30,Coffee,11,6.23,68.53
2024-01-30,Tea,42,3.36,141.12
2024-01-30,Cappuccino,24,4.14,99.36
2024-01-30,Latte,34,6.44,218.96
2024-01-30,Espresso,46,3.82,175.72
2024-01-30,Muffin,48,6.22,298.56
2024-01-30,Croissant,11,4.03,44.33
2024-01-30,Sandwich,22,7.8,171.6
2024-01-30,Cake,9,5.86,52.74
2024-01-30,Smoothie,33,5.82,192.06
2024-01-31,Coffee,6,4.36,26.16
2024-01-31,Tea,35,7.13,249.55
2024-01-31,Cappuccino,25,5.73,143.25
2024-01-31,Latte,24,7.68,184.32
2024-01-31,Espresso,26,6.27,163.02
2024-01-31,Muffin,14,4.54,63.56
2024-01-31,Croissant,14,5.18,72.52
2024-01-31,Sandwich,39,6.64,258.96
2024-01-31,Cake,25,7.75,193.75
2024-01-31,Smoothie,49,6.49,318.01
2024-02-01,Coffee,10,5.65,56.5
